,label,size,time,nb_rounds,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19,round20,round21,round22,round23,round24,round25,round26,round27,round28,round29,round30,round31,round32,round33,round34,round35,round36,round37,round38,round39,round40,round41,round42,round43,round44,round45,round46,round47,round48,round49,round50,round51,round52,round53,round54,round55,round56,round57,round58,round59,round60,round61,round62,round63,round64,round65,round66,round67,round68,round69,round70,round71,round72,round73,round74,round75,round76,round77,round78,round79,round80,round81,round82,round83,round84,round85,round86,round87,round88,round89,round90,round91,round92,round93,round94,round95,round96,round97,round98,round99,round100,round101,round102,round103,round104,round105,round106,round107,round108,round109,round110,round111,round112,round113,round114,round115,round116,round117,round118,round119,round120,round121,round122,round123,round124,round125,round126,round127,round128,round129,round130,round131,round132,round133,round134,round135,round136,round137,round138,round139,round140,round141,round142,round143,round144,round145,round146,round147,round148,round149,round150,round151,round152,round153,round154,round155,round156,round157,round158,round159,round160,round161,round162,round163,round164,round165,round166,round167,round168,round169,round170,round171,round172,round173,round174,round175,round176,round177,round178,round179,round180,round181,round182,round183,round184,round185,round186,round187,round188,round189,round190,round191,round192,round193,round194,round195,round196,round197,round198,round199,round200,round201,round202,round203
0,1,461,30.51780390739441,87,1,1,1,1,1,1,1,25,1,6,1,15,1,8,2,2,1,24,1,10,1,1,1,27,1,12,1,7,1,16,1,1,1,14,1,1,1,9,1,14,1,10,1,1,2,16,1,8,1,22,1,6,1,1,1,12,1,1,1,3,1,6,1,1,1,24,1,15,1,7,3,2,1,25,1,1,1,1,1,17,1,7,1,20,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10,137,10.819217920303345,29,1,1,1,1,2,1,1,24,1,22,1,18,1,1,1,4,1,1,1,19,1,1,1,12,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,479,7.9593729972839355,98,1,1,1,1,1,1,1,7,1,16,1,16,1,1,1,14,1,1,1,1,1,6,1,1,1,25,1,13,1,7,1,3,1,1,1,24,1,3,1,1,1,4,1,21,1,2,1,1,1,20,1,1,1,1,1,25,1,15,1,6,1,12,1,1,1,20,1,1,2,1,1,23,1,18,1,3,1,1,1,24,1,15,1,4,2,1,1,27,1,12,1,6,1,15,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,11,499,27.349814891815186,103,1,1,1,1,2,2,1,18,1,1,1,14,1,12,1,10,1,1,1,24,1,5,1,3,1,4,1,2,1,9,1,2,2,1,1,1,1,11,1,1,1,21,1,4,2,1,1,24,1,20,1,3,1,4,2,2,1,18,1,1,1,19,1,4,1,21,1,23,1,3,1,1,1,1,1,23,1,19,1,6,1,17,1,1,1,22,1,2,1,24,1,4,1,1,1,13,1,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,12,379,19.28770613670349,77,1,1,1,1,1,1,1,6,1,13,1,1,1,23,1,9,1,14,1,3,2,2,1,24,1,4,1,18,1,21,1,1,1,7,1,17,1,9,1,3,1,2,1,1,1,2,1,3,1,1,1,15,1,6,1,3,1,1,1,13,1,1,1,26,1,20,1,14,1,1,1,14,1,10,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,13,500,26.34175395965576,91,1,1,1,2,1,1,1,5,1,12,1,1,1,15,1,1,1,20,1,6,1,20,1,1,1,6,2,2,1,13,1,10,1,18,1,1,1,17,3,2,1,24,1,23,1,22,2,2,1,25,1,20,1,11,1,1,1,17,1,4,2,1,1,1,1,2,1,25,1,18,1,7,1,11,1,1,1,25,1,3,1,17,1,24,1,3,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,404,21.313798904418945,67,1,1,1,1,2,2,1,24,1,21,1,12,1,1,1,24,1,9,1,1,1,3,1,20,1,22,1,3,2,1,1,24,1,22,1,1,1,11,2,2,1,11,1,1,1,25,1,23,1,12,1,1,1,10,3,2,1,19,1,1,1,24,1,3,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15,587,30.492625951766968,113,1,1,1,1,3,1,1,1,1,3,1,6,2,2,1,7,1,16,1,1,1,1,1,20,1,23,1,1,1,1,1,24,1,18,1,1,1,4,2,1,1,1,1,1,1,28,1,21,1,18,1,1,1,6,1,18,1,23,1,7,1,7,1,1,1,23,1,4,1,1,1,13,1,11,1,10,1,1,1,24,1,20,1,18,2,1,1,1,1,1,1,7,1,19,1,15,2,2,1,16,1,7,1,21,1,11,3,2,1,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16,372,21.893850088119507,84,2,1,1,1,1,1,2,4,1,4,1,7,1,12,3,2,1,26,1,8,1,3,1,1,1,23,1,20,1,4,1,1,1,1,1,7,1,1,1,24,1,12,1,11,1,1,1,3,1,1,1,23,1,7,1,12,1,3,1,1,1,6,2,2,1,7,1,1,1,18,1,6,1,21,1,13,1,1,1,7,1,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,17,558,33.54393196105957,111,1,1,1,1,1,1,1,3,1,3,1,1,1,6,2,2,1,25,1,11,1,7,1,1,2,1,1,1,1,26,1,13,1,8,1,21,1,1,1,19,1,4,1,21,1,11,1,1,1,9,1,14,1,8,2,2,1,23,1,1,1,3,1,2,1,1,1,26,1,13,1,3,1,1,1,6,1,1,1,23,1,12,1,1,1,3,1,23,1,21,1,1,2,1,1,25,1,3,1,1,1,24,1,1,1,18,1,1,1,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
